StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,M1_1,M2_1,M3_1,M4_1,M5_1,U1_1,U2_1,U3_1,U4_1,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,I1_1,I2_1,I3_1,I4_1,I5_1,C1_1,C2_1,C4_1,C4_1,C5_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q12_16,Q12_17,Q12_18,Q12_19,Q12_20,Q12_21,Q12_22,Q12_23,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,SC0,SC1,SC2,SC3,SC4,SC5,MUSIC- Mellow mean,MUSIC- unpretentious mean,MUSIC- sophisticated mean,MUSIC- intense mean,MUSIC contemporary mean,TIPI_Extroversion,TIPI_Agreeableness,TIPI_Emotional Stability,TIPI_Conscientiousness,TIPI_Openness,Mellow,Unpretentious,Sophisticated,Intense,Contemporary,Create New Field or Choose From Dropdown...,Emotional Mean,Cognitive Mean,Background,EQ score mean,SQ score mean
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Consent FormAre you over 18?,Have you read and understood the information sheet about the study provided?,Do you give voluntary consent to participate in this study?,Do you agree to your data being used for a year 2 project?,"Do you understand that any personal data about yourself is not recorded, and that all answers and responses are anonymous and confidential?",Do you understand that this experiment involves a completion of online-based questions? In the task you will be required to answer a series of questions,"Are you aware that if you do not consent to all of the questions above, this Qualtrics survey will terminate rather than continuing?","Use of Information in the study
 

Do you understand that the personal information gathered from you will not be shared with anyone and will remain strictly confidential?",Are you aware that you can terminate your participation in this experiment at any time by closing the browser window or by contacting the research coordinator?,"Future use and reuse of given information by others 
 


I give permission for statistical databases summarising responses I’ve given during the study to be deposited in the Goldsmiths Research Online (GRO) repository so they can be used for future research and learning. Any deposited data will be anonymised.","Please write the first three letters of your surname and the year you were born e.g. Smith 2000 turns into SMI2000 After completing this study, if you wish to have your data withdrawn then this ID will be required",How old are you?,What gender do you identify as?,What is your level of education?,M1 - Please listen to this song extract and indicate your liking for it,M2 - Please listen to this song extract and indicate your liking for it,M3 - Please listen to this song extract and indicate your liking for it,M4 - Please listen to this song extract and indicate your liking for it,M5 - Please listen to this song extract and indicate your liking for it,U1 - Please listen to this song extract and indicate your liking for it,U2 - Please listen to this song extract and indicate your liking for it,U3 - Please listen to this song extract and indicate your liking for it,U4 - Please listen to this song extract and indicate your liking for it,S1 - Please listen to this song extract and indicate your liking for it,S2 - Please listen to this song extract and indicate your liking for it,S3 - Please listen to this song extract and indicate your liking for it,S4 - Please listen to this song extract and indicate your liking for it,S5 - Please listen to this song extract and indicate your liking for it,S6 - Please listen to this song extract and indicate your liking for it,I1 - Please listen to this song extract and indicate your liking for it,I2 - Please listen to this song extract and indicate your liking for it,I3 - Please listen to this song extract and indicate your liking for it,I4 - Please listen to this song extract and indicate your liking for it,I5 - Please listen to this song extract and indicate your liking for it,C1 - Please listen to this song extract and indicate your liking for it,C2 - Please listen to this song extract and indicate your liking for it,C4 - Please listen to this song extract and indicate your liking for it,C4 - Please listen to this song extract and indicate your liking for it,C5 - Please listen to this song extract and indicate your liking for it,"I see myself as... - Extraverted, enthusiastic.","I see myself as... - Critical, quarrelsome.","I see myself as... - Dependable, self-disciplined.","I see myself as... - Anxious, easily upset.","I see myself as... - Open to new experiences, complex.","I see myself as... - Reserved, quiet.","I see myself as... - Sympathetic, warm.","I see myself as... - Disorganized, careless.","I see myself as... - Calm, emotionally stable.","I see myself as... - Conventional, uncreative.","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Alternative Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Bluegrass Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Blues Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Classical Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Country Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Dance/Electronica Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Folk Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Funk Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Gospel Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Heavy Metal Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - World Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Jazz Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - New Age Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Oldies Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Opera Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Pop Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Punk Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Rap/Hip-hop Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Reggae Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Religious Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Rock Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Soul/R&B Music","For the following items, please choose your preference level
for the music genres listed using the scale provided below:
Drag the slider to select your answer. - Soundtracks/theme songs",Listening to music really affects my mood.,I am not very nostalgic when Iisten to old songs I used to listen to.,Whenever I want to feel happy I listen to a happy song.,When I listen to sad songs I feel very emotional.,Almost every memory I have is associated with a particular song.,I often enjoy analyzing complex musical compositions.,I seldom like a song unless I admire the technique of the musicians.,I don't enjoy listening to pop music because it's very primitive.,"Rather than relaxing, when I listen to music I like to concentrate on it.",Listening to music is an intellectual experience for me.,I enjoy listening to music while I work.,Music is very distracting so whenever I study I need to have silence.,"If I don't listen to music while I'm doing something, I often get bored.",I enjoy listening to music in social events.,I often feel very lonely if I don't listen to music.,1. - I can easily tell if someone else wants to enter a conversation.,2. - I really enjoy caring for other people,3. - I find it hard to know what to do in a social situation,4. - I often find it hard to judge if something is rude or polite,"5. - In a conversation, I tend to focus on my own thoughts rather than on what my listener might be thinking",6. - I can pick up quickly if someone says one thing but means another,7. - It is hard for me to see why some things upset people so much,8. - I find it easy to put myself in somebody else's shoes,9. - I am good at predicting how someone will feel,10. - I am quick to spot when someone in a group is feeling awkward or uncomfortable,11. - I can't always see why someone should have felt offended by a remark,12. - I don't tend to find social situations confusing,13. - Other people tell me I am good at understanding how they are feeling and what they are thinking,14. - I can easily tell if someone else is interested or bored with what I am saying,15. - Friends usually talk to me about their problems as they say that I am very understanding,"16. - I can sense if I am intruding, even if the other person doesn't tell me","17. - Other people often say that I am insensitive, though I don't always see why",18. - I can tune into how someone else feels rapidly and intuitively,19. - I can easily work out what another person might want to talk about,20. - I can tell if someone is masking their true emotion,21. - I am good at predicting what someone will do,22. - I tend to get emotionally involved with a friend's problems,"1. - If I were buying a car, I would want to obtain specific information about its engine capacity","2. - If there was a problem with the electrical wiring in my home, I'd be able to fix it myself",3. - I rarely read articles or web pages about new technology,4. - I do not enjoy games that involve a high degree of strategy,5. - I am fascinated by how machines work,"6. - In maths, I am intrigued by the rules and patterns governing numbers",7. - I find it difficult to understand instruction manuals for putting appliances together,"8. - If I were buying a computer, I would want to know exact details about its hard disc drive capacity and processor speed",9. - I find it difficult to read and understand maps,"10. - When I look at a piece of furniture, I do not notice the details of how it was constructed",11. - I find it difficult to learn my way around a new city,12. - I do not tend to watch science documentaries on television or read articles about science and nature,"13. - If I were buying a stereo, I would want to know about its precise technical features",14. - I find it easy to grasp exactly how odds work in betting,15. - I am not very meticulous when I carry out D.I.Y,"16. - When I look at a building, I am curious about the precise way it was constructed",17. - I find it difficult to understand information the bank sends me on different investment and saving systems,"18. - When travelling by train, I often wonder exactly how the rail networks are coordinated","19. - If I were buying a camera, I would not look carefully into the quality of the lens","20. - When I hear the weather forecast, I am not very interested in the meteorological patterns","21. - When I look at a mountain, I think about how precisely it was formed",22. - I can easily visualise how the motorways in my region link up,"23. - When I'm in a plane, I do not think about the aerodynamics",24. - I am interested in knowing the path a river takes from its source to the sea,25. - I am not interested in understanding how wireless communication works,Score,Extroversion,Agreeableness,Conscientiousness,Emotional Stability,Openness,MUSIC- Mellow mean,MUSIC- unpretentious mean,MUSIC- sophisticated mean,MUSIC- intense mean,MUSIC contemporary mean,TIPI_Extroversion,TIPI_Agreeableness,TIPI_Emotional Stability,TIPI_Conscientiousness,TIPI_Openness,Mellow,Unpretentious,Sophisticated,Intense,Contemporary,Create New Field or Choose From Dropdown...,Emotional Mean,Cognitive Mean,Background,EQ score mean,SQ score mean
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID127036836""}","{""ImportId"":""QID127036837""}","{""ImportId"":""QID127036838""}","{""ImportId"":""QID127036839""}","{""ImportId"":""QID127036824""}","{""ImportId"":""QID127036825""}","{""ImportId"":""QID127036826""}","{""ImportId"":""QID127036827""}","{""ImportId"":""QID127036829""}","{""ImportId"":""QID127036828""}","{""ImportId"":""QID127036831_TEXT""}","{""ImportId"":""QID127036832_TEXT""}","{""ImportId"":""QID127036833""}","{""ImportId"":""QID127036834""}","{""ImportId"":""QID127025590_1""}","{""ImportId"":""QID127025588_1""}","{""ImportId"":""QID127025587_1""}","{""ImportId"":""QID127025585_1""}","{""ImportId"":""QID127025598_1""}","{""ImportId"":""QID127025607_1""}","{""ImportId"":""QID127025601_1""}","{""ImportId"":""QID127025599_1""}","{""ImportId"":""QID127025591_1""}","{""ImportId"":""QID127025605_1""}","{""ImportId"":""QID127025600_1""}","{""ImportId"":""QID127025597_1""}","{""ImportId"":""QID127025596_1""}","{""ImportId"":""QID127025595_1""}","{""ImportId"":""QID127025594_1""}","{""ImportId"":""QID127025589_1""}","{""ImportId"":""QID127025586_1""}","{""ImportId"":""QID127025584_1""}","{""ImportId"":""QID127025606_1""}","{""ImportId"":""QID127025592_1""}","{""ImportId"":""QID127025583_1""}","{""ImportId"":""QID127025604_1""}","{""ImportId"":""QID127025603_1""}","{""ImportId"":""QID127025602_1""}","{""ImportId"":""QID127025593_1""}","{""ImportId"":""QID127021156_1""}","{""ImportId"":""QID127021145_1""}","{""ImportId"":""QID127021146_1""}","{""ImportId"":""QID127021147_1""}","{""ImportId"":""QID127021149_1""}","{""ImportId"":""QID127021150_1""}","{""ImportId"":""QID127021151_1""}","{""ImportId"":""QID127021153_1""}","{""ImportId"":""QID127021154_1""}","{""ImportId"":""QID127021155_1""}","{""ImportId"":""QID127020397_1""}","{""ImportId"":""QID127020397_2""}","{""ImportId"":""QID127020397_15""}","{""ImportId"":""QID127020397_16""}","{""ImportId"":""QID127020397_17""}","{""ImportId"":""QID127020397_18""}","{""ImportId"":""QID127020397_19""}","{""ImportId"":""QID127020397_20""}","{""ImportId"":""QID127020397_21""}","{""ImportId"":""QID127020397_22""}","{""ImportId"":""QID127020397_24""}","{""ImportId"":""QID127020397_25""}","{""ImportId"":""QID127020397_26""}","{""ImportId"":""QID127020397_27""}","{""ImportId"":""QID127020397_28""}","{""ImportId"":""QID127020397_29""}","{""ImportId"":""QID127020397_30""}","{""ImportId"":""QID127020397_31""}","{""ImportId"":""QID127020397_32""}","{""ImportId"":""QID127020397_33""}","{""ImportId"":""QID127020397_34""}","{""ImportId"":""QID127020397_35""}","{""ImportId"":""QID127020397_56""}","{""ImportId"":""QID127020371""}","{""ImportId"":""QID127020373""}","{""ImportId"":""QID127020374""}","{""ImportId"":""QID127020375""}","{""ImportId"":""QID127020376""}","{""ImportId"":""QID127020377""}","{""ImportId"":""QID127020378""}","{""ImportId"":""QID127020379""}","{""ImportId"":""QID127020380""}","{""ImportId"":""QID127020381""}","{""ImportId"":""QID127020382""}","{""ImportId"":""QID127020383""}","{""ImportId"":""QID127020384""}","{""ImportId"":""QID127020385""}","{""ImportId"":""QID127020387""}","{""ImportId"":""QID127060493_1""}","{""ImportId"":""QID127060515_1""}","{""ImportId"":""QID127060516_1""}","{""ImportId"":""QID127060517_1""}","{""ImportId"":""QID127060518_1""}","{""ImportId"":""QID127060519_1""}","{""ImportId"":""QID127060520_1""}","{""ImportId"":""QID127060494_1""}","{""ImportId"":""QID127060495_1""}","{""ImportId"":""QID127060496_1""}","{""ImportId"":""QID127060497_1""}","{""ImportId"":""QID127060498_1""}","{""ImportId"":""QID127060499_1""}","{""ImportId"":""QID127060500_1""}","{""ImportId"":""QID127060501_1""}","{""ImportId"":""QID127060502_1""}","{""ImportId"":""QID127060503_1""}","{""ImportId"":""QID127060505_1""}","{""ImportId"":""QID127060506_1""}","{""ImportId"":""QID127060507_1""}","{""ImportId"":""QID127060508_1""}","{""ImportId"":""QID127060509_1""}","{""ImportId"":""QID127060524_1""}","{""ImportId"":""QID127060535_1""}","{""ImportId"":""QID127060543_1""}","{""ImportId"":""QID127060544_1""}","{""ImportId"":""QID127060545_1""}","{""ImportId"":""QID127060546_1""}","{""ImportId"":""QID127060547_1""}","{""ImportId"":""QID127060548_1""}","{""ImportId"":""QID127060549_1""}","{""ImportId"":""QID127060525_1""}","{""ImportId"":""QID127060526_1""}","{""ImportId"":""QID127060527_1""}","{""ImportId"":""QID127060528_1""}","{""ImportId"":""QID127060529_1""}","{""ImportId"":""QID127060530_1""}","{""ImportId"":""QID127060531_1""}","{""ImportId"":""QID127060532_1""}","{""ImportId"":""QID127060533_1""}","{""ImportId"":""QID127060534_1""}","{""ImportId"":""QID127060536_1""}","{""ImportId"":""QID127060537_1""}","{""ImportId"":""QID127060538_1""}","{""ImportId"":""QID127060539_1""}","{""ImportId"":""QID127060540_1""}","{""ImportId"":""QID127060541_1""}","{""ImportId"":""SC_9vIHtvmZYptknNY""}","{""ImportId"":""SC_1KXhYIEtuCkzgdU""}","{""ImportId"":""SC_dmwPBxVb6fqWn30""}","{""ImportId"":""SC_86BEwlYSNxpMJ8O""}","{""ImportId"":""SC_cAr7j2NmEbG0VN4""}","{""ImportId"":""SC_7Vr5gWDNr2fR2Mm""}","{""ImportId"":""MUSIC- Mellow mean""}","{""ImportId"":""MUSIC- unpretentious mean""}","{""ImportId"":""MUSIC- sophisticated mean""}","{""ImportId"":""MUSIC- intense mean""}","{""ImportId"":""MUSIC contemporary mean""}","{""ImportId"":""TIPI_Extroversion""}","{""ImportId"":""TIPI_Agreeableness""}","{""ImportId"":""TIPI_Emotional Stability""}","{""ImportId"":""TIPI_Conscientiousness""}","{""ImportId"":""TIPI_Openness""}","{""ImportId"":""Mellow""}","{""ImportId"":""Unpretentious""}","{""ImportId"":""Sophisticated""}","{""ImportId"":""Intense""}","{""ImportId"":""Contemporary""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""Emotional Mean""}","{""ImportId"":""Cognitive Mean""}","{""ImportId"":""Background""}","{""ImportId"":""EQ score mean""}","{""ImportId"":""SQ score mean""}"
2021-01-28 09:23:39,2021-01-28 09:37:05,1,,100,806,1,2021-01-28 09:37:06,R_2wH0GRcNKaWiJ4L,,,,,51.46380615234375,0.143402099609375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2021-01-28 09:37:57,2021-01-28 09:40:24,1,,100,146,1,2021-01-28 09:40:24,R_3k55Jnr6hAQsgHa,,,,,51.46380615234375,0.143402099609375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2021-01-28 11:36:32,2021-01-28 11:45:58,1,,100,565,1,2021-01-28 11:45:59,R_tJv4JfnewZc30e5,,,,,51.46380615234375,0.143402099609375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,14,14,28,17.517.5,17.5,,4.2,5,4,,
2021-01-28 12:27:41,2021-01-28 12:41:20,1,,100,818,1,2021-01-28 12:41:20,R_vApeDclpGkU0otb,,,,,51.5063934326171875,-0.0200042724609375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,5,5,4,4,4,5,1,4,3,5,4,3,7,1,3,2,5,3,6,6,5,1,4,5,3,3,3,1,2,3,5,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,8.666666666666666,8.666666666666666,16.285714285714285,3.753.75,8.75,,3.6,2.4,3.5,,
2021-01-28 12:38:19,2021-01-28 12:58:32,1,,100,1212,1,2021-01-28 12:58:33,R_2QtyJ7nwNApHxaS,,,,,51.556396484375,0.071502685546875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,3,3,3,3,3,4,3,4,4,2,6,2,6,2,2,2,4,5,5,5,4,4,2,2,2,2,2,2,5,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,7.666666666666667,7.666666666666667,12.285714285714286,7.57.5,7.75,,4,2,4.25,,
2021-01-28 12:55:21,2021-01-28 12:59:50,1,,100,269,1,2021-01-28 12:59:52,R_3mmfIc6yF8jvBcX,,,,,51.3488006591796875,-0.0321044921875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,5,5,4,3,4,4,5,3,3,4,4,4,5,5,3,2,5,7,1,4,2,1,2,1,3,3,3,2,3,3,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,8.666666666666666,8.666666666666666,18.285714285714285,11.511.5,10,,2,2.8,3,,
2021-01-28 13:18:40,2021-01-28 13:22:34,1,,100,233,1,2021-01-28 13:22:35,R_2BxjiYIlkAOMC4E,,,,,51.5063934326171875,-0.0200042724609375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,6,5,5,4,7,7,6,5,3,2,6,3,3,4,5,2,2,2,2,5,5,4,3,4,5,3,5,5,3,5,2,4,2,2,4,4,4,3,3,2,2,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,12,11,13,13,11,,,,,,6,5.5,6.5,6.5,5.5,6.333333333333333,6.333333333333333,14.428571428571429,99,9.5,,2.8,3.2,3,,
2021-01-29 07:34:45,2021-01-29 07:39:45,1,,100,299,1,2021-01-29 07:39:46,R_2at3FOcDKefVWWd,,,,,53.5915069580078125,-2.393096923828125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,6,2,6,2,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,2,2,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,8,8,8,8,6,,,,,,4,4,4,4,3,4,4,7,4.254.25,4.25,,4.2,5,4,,
