StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;id;age;gender;education;M1_1;M2_1;M3_1;M4_1;M5_1;U1_1;U2_1;U3_1;U4_1;S1_1;S2_1;S3_1;S4_1;S5_1;S6_1;I1_1;I2_1;I3_1;I4_1;I5_1;C1_1;C2_1;C4_1;C4_1;C5_1;ext_1;agr_1r;con_1;est_1r;ope_1;ext_2r;agr_2;con_2r;est_2;ope_2r;stomp_1_i;stomp_2_s;stomp_3_s;stomp_4_s;stomp_5_u;stomp_6_m;stomp_7_s;stomp_8_c;stomp_9_s;stomp_10_i;stomp_11_m;stomp_12_s;stomp_13_m;stomp_14_oldies;stomp_15_s;stomp_16_u;stomp_17_i;stomp_18_c;stomp_19_c;stomp_20_u;stomp_21_i;stomp_22_c;stomp_23_soundtrack;uom_1;uom_2r;uom_3;uom_4;uom_5;uom_6;uom_7;uom_8;uom_9;uom_10;uom_11;uom_12r;uom_13;uom_14;uom_15;eq1;eq2;eq3;eq4;eq5;eq6;eq7;eq8;eq9;eq10;eq11;eq12;eq13;eq14;eq15;eq16;eq17;eq18;eq19;eq20;eq21;eq22;sq1;sq2;sq3;sq4;sq5;sq6;sq7;sq8;sq9;sq10;sq11;sq12;sq13;sq14;sq15;sq16;sq17;sq18;sq19;sq20;sq21;sq22;sq23;sq24;sq25;SC0;SC1;SC2;SC3;SC4;SC5;MUSIC- Mellow mean;MUSIC- unpretentious mean;MUSIC- sophisticated mean;MUSIC- intense mean;MUSIC contemporary mean;TIPI_Extroversion;TIPI_Agreeableness;TIPI_Emotional Stability;TIPI_Conscientiousness;TIPI_Openness;Mellow;Unpretentious;Sophisticated;Intense;Contemporary;Create New Field or Choose From Dropdown...;Emotional Mean;Cognitive Mean;Background;EQ score mean;SQ score mean
05.02.21 04:12;05.02.21 04:34;0;80.194.235.25;100;1276;1;05.02.21 04:34;R_1n6DjrstWIu9iKL;;;;;51,46380615;0,1434021;anonymous;EN;1;1;1;1;1;1;1;1;1;1;TOM2000;20;1;1;5;4;5;4;4;3;5;5;5;5;5;5;4;5;5;5;4;5;5;5;4;5;4;5;3;4;3;6;6;7;1;6;6;7;6;7;5;7;6;7;6;3;7;4;4;4;7;5;6;4;7;7;7;7;4;7;7;6;4;1;3;4;1;5;2;1;4;3;5;4;2;4;4;4;4;2;3;4;4;4;2;2;3;3;3;4;1;2;2;2;3;4;4;3;1;1;4;4;1;4;3;1;3;3;2;4;1;1;2;3;2;3;3;4;2;1;1;4;3;2;52;5;9;12;13;13;4,4;4,5;4,833333333;4,8;4,2;2,5;4,5;6,5;6;6,5;9,333333333;9,333333333;18,57142857;14.514.5;17,5;;2,6;3;3,75;1,5;1,416666667
05.02.21 04:30;05.02.21 04:43;0;161.23.173.10;100;760;1;05.02.21 04:43;R_3oAUs2oBzUkLN4w;;;;;51,60969543;0,010406494;anonymous;EN;1;1;1;1;1;1;1;1;1;1;AHM2000;20;1;1;3;5;2;4;4;5;3;2;2;2;2;2;4;4;4;1;1;1;2;2;2;3;5;5;4;2;4;5;1;6;1;7;3;5;4;4;4;4;5;5;6;4;3;3;1;2;4;4;3;3;6;1;7;6;5;1;4;6;5;1;5;5;4;4;3;3;3;3;5;1;4;4;3;4;4;4;2;2;3;2;2;2;3;2;2;3;3;4;4;3;3;3;3;2;4;4;3;2;2;3;1;2;4;2;3;3;2;4;1;2;3;2;3;4;2;3;1;3;4;3;38;3;11;8;6;10;3,6;3;3;1,4;3,8;1,5;5,5;3;4;5;6,666666667;6,666666667;14,85714286;4.754.75;12;;4;3,2;3,5;1,3125;1,235294118
05.02.21 04:26;05.02.21 04:50;0;5.66.12.158;100;1387;1;05.02.21 04:50;R_O7g4QkGqEYIpijn;;;;;51,57879639;-0,123504639;anonymous;EN;1;1;1;1;1;1;1;1;1;1;TAS2001;19;2;1;4;2;4;2;2;2;3;3;2;3;2;1;1;3;4;1;1;1;1;1;1;2;3;2;2;6;3;6;5;6;6;7;6;6;6;2;1;1;5;4;5;5;5;2;1;5;4;1;5;1;7;1;7;4;5;1;7;7;4;5;4;4;4;2;4;2;2;4;2;2;4;4;4;4;4;1;1;1;3;2;4;3;4;3;3;3;3;3;3;2;3;3;3;3;3;4;2;3;3;3;3;2;4;3;3;3;2;3;2;3;3;2;3;1;3;3;1;1;4;2;57;12;10;12;11;12;2,8;2,5;2,333333333;1;2;6;5;5,5;6;6;7,333333333;7,333333333;10,85714286;3.253.25;13;;4,2;2,8;3;1,333333333;1,333333333
05.02.21 04:37;05.02.21 05:02;0;81.157.142.100;100;1524;1;05.02.21 05:02;R_zfpZB7gIifIEH6N;;;;;51,50639343;-0,020004272;anonymous;EN;1;1;1;1;1;1;1;1;1;1;HOQ2001;20;2;1;3;3;3;4;4;3;4;2;3;4;3;1;3;4;4;1;1;1;3;1;3;3;3;5;3;5;5;7;2;7;4;7;7;7;3;4;2;2;5;2;4;3;2;1;1;7;1;4;7;1;7;1;7;4;1;1;7;7;5;1;5;5;5;5;5;3;3;4;5;3;2;5;2;4;4;2;2;1;3;4;4;4;4;2;2;4;4;4;3;1;3;4;4;3;3;4;2;2;1;4;4;2;1;3;2;3;1;3;1;2;3;2;1;1;4;1;3;4;1;2;54;9;12;14;9;10;3,4;3;3,166666667;1,4;3,4;4,5;6;4,5;7;5;11;11;8,571428571;4.754.75;10,75;;4,2;4;3,75;1,6;1,4
05.02.21 04:49;05.02.21 05:02;0;73.182.62.61;100;798;1;05.02.21 05:02;R_3lJjzfNA5tn22l8;;;;;32,16499329;-81,90799713;anonymous;EN;1;1;1;1;1;1;1;1;1;1;COF2002;18;1;1;3;4;2;2;4;2;2;1;2;5;2;1;3;4;3;5;4;5;5;5;2;1;1;1;2;1;1;3;1;5;1;2;3;1;6;7;6;6;4;1;1;5;1;1;3;1;3;4;1;1;4;5;1;1;1;7;1;1;5;1;4;4;4;5;1;2;3;3;5;5;5;5;5;2;2;4;4;4;1;4;1;1;1;4;1;3;1;4;1;4;1;1;1;1;1;2;1;2;1;3;4;4;2;1;1;4;1;1;1;2;1;4;2;1;2;3;1;1;3;4;24;2;3;6;2;11;3;1,75;3;4,8;1,4;1;1,5;1;3;5,5;4;4;11,85714286;12.512.5;2,5;;3,6;2,8;5;1,5;1,538461538
05.02.21 04:54;05.02.21 05:09;0;93.115.192.236;100;934;1;05.02.21 05:09;R_yxPTUNWtVav9Ivn;;;;;51,50639343;-0,020004272;anonymous;EN;1;1;1;1;1;1;1;1;1;1;URB2001;19;1;1;5;3;4;4;5;3;2;2;3;1;2;4;4;4;2;5;5;5;3;5;3;2;3;5;1;5;4;3;6;6;3;3;2;2;7;7;2;5;6;3;7;7;5;1;7;5;6;4;5;4;1;7;7;3;1;7;1;7;4;5;3;4;2;4;1;5;3;4;4;1;4;5;3;2;3;4;3;2;1;4;3;2;1;4;2;2;2;3;2;3;2;3;1;2;2;3;3;2;1;3;2;1;4;2;2;1;2;4;2;3;4;2;3;1;1;2;1;3;3;2;41;8;7;5;8;13;4,2;2,5;2,833333333;4,6;2,8;4;3,5;4;2,5;6,5;10;10;16,42857143;17.517.5;9;;3,6;3,4;3,5;1;1,421052632
05.02.21 04:49;05.02.21 05:10;0;176.249.39.204;100;1280;1;05.02.21 05:11;R_2PsQ24AMknMA63z;;;;;51,60169983;-0,073196411;anonymous;EN;1;1;1;1;1;1;1;1;1;1;RAY2000;20;2;1;5;3;5;2;4;1;4;3;3;4;4;4;4;4;4;2;1;4;3;4;2;4;4;4;3;3;3;6;5;6;1;6;7;5;6;5;5;5;3;2;6;4;2;6;1;5;5;6;5;5;7;5;7;7;5;5;7;7;5;4;4;3;3;3;3;2;2;3;5;4;2;4;2;3;4;2;2;3;4;1;3;4;4;4;3;4;3;4;4;1;3;3;4;3;3;3;2;2;2;3;3;2;3;2;3;2;4;1;2;2;2;2;2;1;4;2;1;4;1;1;48;4;9;13;10;12;3,8;2,75;4;2,8;3,4;2;4,5;5;6,5;6;11;11;18,85714286;8.58.5;13,75;;3,8;2,6;3,75;1,5;1,153846154
05.02.21 04:41;05.02.21 05:21;0;90.252.66.180;100;2440;1;05.02.21 05:21;R_1F3ZK6QELIUmi8g;;;;;51,63340759;-0,169799805;anonymous;EN;1;1;1;1;1;1;1;1;1;1;Ali 2001;19;2;1;1;1;5;3;5;1;1;1;1;1;1;1;5;3;1;1;1;1;1;1;1;2;1;4;5;7;3;7;5;7;7;7;7;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;7;7;7;1;7;1;3;1;5;3;4;3;3;1;3;3;5;5;3;5;1;4;4;1;3;4;4;1;3;4;4;4;4;4;4;4;4;1;4;4;4;4;4;3;3;1;4;2;1;1;4;1;3;1;1;1;1;2;4;1;4;1;1;4;4;1;4;1;61;14;10;14;12;11;3;1;2;1;2,6;7;5;6;7;5,5;2;2;4;2.52.5;13;;3,2;2,6;4,5;1,947368421;1,842105263
05.02.21 05:11;05.02.21 05:31;0;81.131.210.158;100;1221;1;05.02.21 05:31;R_10BJFWTEFhG7nuM;;;;;51,46380615;0,1434021;anonymous;EN;1;1;1;1;1;1;1;1;1;1;ZHO2001;19;1;1;3;3;4;4;4;3;3;3;3;4;4;3;4;5;4;3;3;5;4;5;4;3;3;4;3;3;5;5;6;4;6;5;6;4;7;4;4;4;5;3;4;3;3;3;4;4;5;4;4;3;4;4;5;4;3;4;4;4;2;3;1;2;4;5;4;3;4;5;5;5;4;4;3;3;3;2;2;2;3;2;2;3;3;3;3;2;3;3;3;1;2;2;3;2;2;3;4;1;2;4;3;1;4;1;2;2;3;4;3;2;2;2;3;1;1;2;2;3;2;2;51;9;10;11;10;11;3,6;3;4;4;3,4;4,5;5;5;5,5;5,5;8;8;14,57142857;1010;9,5;;2,4;4,2;4,5;1,066666667;1,473684211
05.02.21 06:11;05.02.21 06:31;0;86.9.102.5;100;1174;1;05.02.21 06:31;R_3oYrgDImRrv6CG5;;;;;51,45599365;-0,061096191;anonymous;EN;1;1;1;1;1;1;1;1;1;1;CAR2001;19;1;1;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;6;3;6;2;5;3;6;6;4;4;4;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;3;3;2;2;2;2;3;2;4;4;3;4;2;3;3;2;2;2;2;2;4;3;3;2;3;3;3;3;3;1;3;2;3;2;3;4;1;1;1;3;2;3;4;3;2;2;3;3;2;3;2;2;4;1;3;1;1;2;2;2;43;5;8;9;9;12;3;2,75;3;3;2,8;2,5;4;4,5;4,5;6;8;8;14,57142857;1010;10;;3,2;2,2;3,75;1,105263158;1,461538462
